Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0021437,-0.0018095,0.031519,0,0,0,1.339,0.031029,0.000278,0.000114,0.017099,-0.00017,0.044317,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/base_link.STL,,PRODUCT_23148_ASM-1/PRODUCT_1424019-1;PRODUCT_1519130-2;PRODUCT_23148_ASM-1/PRODUCT_1424019-2;PRODUCT_1519130-1;PRODUCT_23148_ASM-1/PRODUCT_1392992-4;PRODUCT_23148_ASM-1/PRODUCT_1392992-3;PRODUCT_23148_ASM-1/PRODUCT_1392992-2;PRODUCT_23148_ASM-1/PRODUCT_1392992-1;PRODUCT_23148_ASM-1/6010-8_20240313_ASM-2/6010-8_X2_5B8988C55C3A5BF856FE__ASM-1/V5_X2_9A7152A876D6_X0___X_C8_X_-1;PRODUCT_23148_ASM-1/6010-8_20240313_ASM-2/6010-8_X2_5B8988C55C3A5BF856FE__ASM-1/6010-8__X2_7B805316_X0__1-1;PRODUCT_23148_ASM-1/PRODUCT_97029-1;PRODUCT_23148_ASM-1/PRODUCT_97029-2;PRODUCT_23148_ASM-1/PRODUCT_560017-1;PRODUCT_23148_ASM-1/PRODUCT_560017-2;PRODUCT_1077647-1;PRODUCT_1414377-1;PRODUCT_1414377-2;PRODUCT_1077647-2;PRT0003-1;PRODUCT_23148_ASM-1/PRODUCT_1550306-2;PRODUCT_23148_ASM-1/PRODUCT_813178-1;PRODUCT_23148_ASM-1/PRODUCT_813178-2;PRT0002-1;PRODUCT_23148_ASM-1/PRODUCT_1550306-1;PRODUCT_616617-2;PRODUCT_23148_ASM-1/PRODUCT_75572-1;PRODUCT_23148_ASM-1/30-6-9____-1;______-4__-2;PRODUCT_23148_ASM-1/PRODUCT_75572-3;______-4__-1;PRODUCT_23148_ASM-1/30-6-9____-4;PRODUCT_23148_ASM-1/6010-8_20240313_ASM-1/6010-8_X2_5B8988C55C3A5BF856FE__ASM-1/6010-8__X2_7B805316_X0__1-1;PRODUCT_23148_ASM-1/6010-8_20240313_ASM-1/6010-8_X2_5B8988C55C3A5BF856FE__ASM-1/V5_X2_9A7152A876D6_X0___X_C8_X_-1;PRODUCT_23148_ASM-1/PRODUCT_1550306-4;PRODUCT_23148_ASM-1/PRODUCT_1550306-3;PRODUCT_23148_ASM-1/PRODUCT_1550306-6;PRODUCT_23148_ASM-1/PRODUCT_1550306-5;PRODUCT_616617-1;______-4__-4;PRODUCT_23148_ASM-1/PRODUCT_75572-2;______-4__-3;PRODUCT_23148_ASM-1/PRODUCT_75572-4;PRODUCT_23148_ASM-1/30-6-9____-3;PRODUCT_23148_ASM-1/30-6-9____-2;PRODUCT_371258-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_leg_link,0.04809,-0.017442,0.00033347,0,0,0,0.21238,0.000116,-0.000106,4E-06,0.000794,1E-06,0.000814,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LF_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LF_leg_link.STL,,PRODUCT_23148_ASM-1/BAR_EXTEND-1;LEG-KNEE-MOTOR-2;________D10XM8-35-2,左前大腿frame,左前电机旋转轴,base_LF_joint,continuous,0.057024,0.25604,0.053,0,0.43149,-0.011811,base_link,0,1,0,,,,,,,,,,,,
LF_knee_link,0.1231,-0.0078704,-0.00048416,0,0,0,0.2511,5.8E-05,1.7E-05,-1E-05,0.002071,0,0.002022,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LF_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LF_knee_link.STL,,LEG-WHEEL-1;F6000_10-26-8-1,左前膝盖frame,左前膝盖旋转轴,LF_knee_joint,continuous,0.15,0.015,0,-3.1416,1.1851,-3.1416,LF_leg_link,0,1,0,,,,,,,,,,,,
left_wheel_link,-2E-06,3E-06,0,0,0,0,0.85254,0.001074,0,0,0.001774,0,0.001074,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/left_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/left_wheel_link.STL,,INWHEELMOTOR_5_5IN-2,左轮坐标系,左轮旋转轴,left_wheel_joint,continuous,0.249998873591879,-0.0491030149636819,0,-3.13051030477686,-0.753563717743009,3.1253968717351,LF_knee_link,-0.0118103395321176,-0.999930255507921,0,,,,,,,,,,,,
LR_leg_link,0.051202,-0.01272,-0.00035505,0,0,0,0.19947,6.3E-05,-4.9E-05,-5E-06,0.000751,0,0.00073,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LR_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LR_leg_link.STL,,PRODUCT_23148_ASM-1/PRODUCT_795811-1;LEG-KNEE-MOTOR-1;________D10XM8-35-1,左后大腿frame,左后电机旋转轴,base_LR_joint,continuous,-0.051597,0.20412,0.053,-3.1416,0.51685,3.1298,base_link,0,1,0,,,,,,,,,,,,
LR_knee_link,0.12012,0.0077944,-0.00049441,0,0,0,0.24589,5.6E-05,-1.4E-05,-1E-05,0.001963,0,0.001916,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LR_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/LR_knee_link.STL,,LEG-WHEEL-2-1;F6000_10-26-8-4,左后膝盖frame,左后膝盖旋转轴,LR_knee_joint,continuous,0.149999999999806,-0.0300000000000002,0,3.14159265357704,-1.20970432068389,-3.1415926535845,LR_leg_link,0,-1,0,,,,,,,,,,,,
RF_leg_link,0.04809,0.017442,0.00033347,0,0,0,0.21238,0.000116,0.000106,4E-06,0.000794,1E-06,0.000814,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RF_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RF_leg_link.STL,,PRT0004-1;PRT0006-1;PRT0012-1,右前大腿frame,右前电机旋转轴,base_RF_joint,continuous,0.05096,-0.25732,0.053,0,0.40442,-0.011811,base_link,0,1,0,,,,,,,,,,,,
RF_knee_link,0.1231,0.0078704,-0.00048416,0,0,0,0.2511,5.8E-05,-1.7E-05,-1E-05,0.002071,0,0.002022,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RF_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RF_knee_link.STL,,PRT0008-1;PRT0011-1,右前膝盖frame,右前膝盖旋转轴,RF_knee_joint,continuous,0.149999999999924,-0.0149999999999972,0,-3.14159265353526,1.17572223524246,-3.14159265353876,RF_leg_link,0,1,0,,,,,,,,,,,,
right_wheel_link,-1E-06,-1E-06,0,0,0,0,0.85254,0.0010739,8E-06,0,0.0017744,0,0.0010738,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/right_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/right_wheel_link.STL,,PRT0010-1,右轮坐标系,右轮旋转轴,right_wheel_joint,continuous,0.249999235453996,0.0491014228925789,0,-3.1301112502539,-0.771230823255971,3.12512125115761,RF_knee_link,-0.0118103395321099,-0.999930255507921,0,,,,,,,,,,,,
RR_leg_link,0.051202,0.01272,-0.000355,0,0,0,0.199469,6.3E-05,4.9E-05,-5E-06,0.000751,0,0.00073,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RR_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheeled_bipedal_simulator/meshes/RR_leg_link.STL,,PRT0005-1;PRT0007-1;PRT0013-1,右后大腿frame,右后电机旋转轴,base_RR_joint,continuous,-0.0564037489137038,-0.202850608084869,0.0529999999998718,-3.14159265358979,0.540465075056446,3.12978203948131,base_link,0,1,0,,,,,,,,,,,,
